"TRAAAGF12903CEC202","Halvdan Sivertsen","Små Ord"
"TRAQSZC12903C9E0E3","Genki Rockets","Heavenly Star"
"TRAQUPJ128E07993B0","McFly","I Wanna Hold You"
"TRAQURK128F92E81DD","Flanders","By My Side (Box Life Radio Edit)"
"TRAQXLV128F425AA4D","Marti Jones","So Lonesome I Could Fly"
"TRAQXSN128EF34DC01","Peaches & Herb","Shake Your Groove Thing"
"TRAQYKM12903CF7B39","Matt Wertz","Carolina"
"TRAREDZ12903CFB6E3","Pelle Carlberg","Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls"
"TRARFNT128F92F5449","Alizée","L'Effet"
"TRARFQL128F931E523","Fergie","Voodoo Doll"
"TRARFSI128F92C5B06","Seal","Killer (Single Version)"
"TRARGJQ128F931D936","Erik Segerstedt","Bring My Baby Back"
"TRARIRG128F147FC96","Phil Collins","I'm Not Moving"
"TRARJFV128F9321C90","Rocazino","Hvad Forlanger Du Mer'"
"TRARJZN128F92E5043","Adrienne Bailon","Big Spender"
"TRARKBB128F92E9468","Céline Dion","Zora sourit"
"TRARKPU128F933ABC6","El Canto del Loco","El Garrotin"
"TRARLDZ128F1464ED9","Erasure","Sexuality"
"TRARMEH128F422BC55","Elisa","Femme Fatale"
"TRARMYZ128F426150A","Ann Lee","So deep"
"TRARNGD128F145267E","Robbie Williams","Random Acts Of Kindness"
"TRARPSY128F9314D72","Daniel Merriweather","Red"
"TRARRPR128E0786B51","Holly Valance","Somebody Out There (Final)"
"TRARSCA128F93050A0","Climie Fisher","This Is Me"
"TRARSKA128F9336A04","Britney Spears","3"
"TRARTLA128F4257979","Javine","Best Of My Love"
"TRARXNO128F92F3006","The Four Lads","Moments To Remember"
"TRARXSQ128F92D06B5","Radiorama","Aliens"
"TRARZSV128F427EB3C","Nellie McKay","Respectable"
"TRASBCE128E078394D","Lucie Silvas","The Longer We're Apart"
"TRASBHK128F145C20D","Atomic Kitten","Eternal Flame (Blacksmith R&B Rub)"
"TRASBXB128EF356E78","The Salsoul Orchestra","It's Good for the Soul"
"TRASBXC128F42777CA","a1","Same Old Brand New You"
"TRASEDU128E0787844","Laura Pausini","Gente"
"TRASEST128F92E5D40","Darren Hayes","Heart Attack"
"TRASEXK128F9300BD0","Grace Jones","Williams Blood"
"TRASEXL128F1462141","Sarah Brightman","Misere Mei"
"TRASFOM128F92F4B5D","Sophie Zelmani","Got To Stop"
"TRASFWC128F14A0CDB","Bluelagoon","Break My Stride (Radio Edit)"
"TRASICI128F92E8B22","Carole King","It's Going To Take Some Time"
"TRASJNI128F92FDB29","Britney Spears","Out From Under"
"TRASMJY128F93150E8","Curtis Stigers","Count My Blessings"
"TRASQBE128F9327911","Foxy","Tena's Song"
"TRASQIB128F426693D","Jennifer Lopez","Ain't It Funny"
"TRASQMC128F92FAE75","Book Of Love","Quiver"
"TRASQPG128F4281235","Måns Zelmerlöw","The Prayer"
"TRASRAW12903CE4566","Alannah Myles","Trouble"
"TRASRBB128F42AFD5C","Brian Littrell","Wish"
"TRASUJG128F92D6316","Katy Perry","I'm Still Breathing"
"TRASVPT128F428894B","Joana Zimmer","I Believe"
"TRASYYQ12903CBA6A8","Backstreet Boys","Song for the Unloved"
"TRASZVB128E0788BD5","Michael Gray","The Weekend"
"TRATCLI128F422BCF8","RyanDan","Wind Beneath My Wings"
"TRATDLH128F93384B0","Lily Allen","22 (Acoustic)"
"TRATDMP128F1461DB4","Diana Ross","Love Hangover"
"TRATFSI12903CB7E88","Tata Young","Shine Like a Superstar"
"TRATGLZ128F92EB4E9","Michael Jackson","Ben"
"TRATIAM128F426601A","Melody Club","Colours"
"TRATIGF128F92E1E45","Joanie Sommers","One Boy"
"TRATIPN128F930D597","Klaas meets Haddaway","What Is Love 2K9"
"TRATIUI128E0787309","The Corrs","Would You Be Happier? (LP Version)"
"TRATKAQ12903CCB295","Imagination","Just An Illusion"
"TRATLUH128F425A4F4","Morten Abel","So Be It"
"TRATMIL128F9322CB0","Tre Små Kinesere","Matbit"
"TRATONP12903CA4A40","Aqua","Goodbye To The Circus"
"TRATPJK12903CBF745","Big Dee Irwin","Swinging On A Star"
"TRATQSL128F932E2ED","Michael Jackson","Morning Glow"
"TRATRMT128F4249901","Righteous Brothers","Little Latin Lupe Lu"
"TRATSQV128F9308973","Carla Bruni","Tout Le Monde"
"TRATSXR128F1495B88","Nick Lachey","Open Your Eyes"
"TRATTOD128F4282B5A","Carole King","So Far Away"
"TRATWSP128F933AD36","a1","Caught In The Middle"
"TRATYUK128F932A6F7","Curtis Stigers","You're All That Matters To Me"
"TRATZIU128F428ABDE","Sylvester","Body Strong"
"TRAUBCF128F933AD5B","Caroline Henderson","All Around You"
"TRAUCEX128F428D00B","Jessica Andersson","Kalla nätter"
"TRAUCYH128F147753F","Cathy Dennis","Irresistible"
"TRAUDBO128F92DF470","Daniele Silvestri","Monetine"
"TRAUEEI128F934A06E","Nichole Nordeman","Healed"
"TRAUFLM128F42AECDC","Britney Spears","Someday (I Will Understand)"
"TRAUFXB128F14A59CE","Jonatha Brooke","Everything I Wanted (yesteryear radio edit)"
"TRAUGFP128F428E6FC","Tracey Ullman","(Life Is A Rock) But The Radio Rolled Me"
"TRAUGRD128F425E997","Anna Abreu","Shame"
"TRAUIMP128F92DC604","Jennifer Hudson","The Star-Spangled Banner"
"TRAUKOL12903CD586F","Steed Lord","You"
"TRAUKYS128F14636CB","Wet Wet Wet","Love Is All Around"
"TRAUNCN128F9320F26","Banaroo","Ba Yonga Wamba"
"TRAUNGB128F933E4B6","Mitchel Musso","Speed Dial"
"TRAUNSA128EF3443D4","Deluxe","Simone"
"TRAUOFO128F92F71D3","Steps","Never Say Never Again"
"TRAUPZL128F424153C","Elton John","Philadelphia Freedom"
"TRAUSQG128F425E6E7","Erasure","Be My Baby"
"TRAUTFS128F428CE3A","Exposé","You Don't Know What You Got"
"TRAUTMF128F9319C6A","Jessica Sierra","Unbroken"
"TRAUTRC128F14A37F5","DJ Bobo","I Feel It"
"TRAUVRN128E07838DF","Ronan Keating","I Hope You Dance"
"TRAUVVR128F425A925","Eurythmics","A Little Of You"
"TRAUZUP128F148BF4D","Abba","The Winner Takes It All"
"TRAVBYW128F426D501","Terence Trent D'Arby","Are You Happy?"
"TRAVCET128E0794BF8","Abba","Super Trouper"
"TRAVCUC128F428E844","Kirsty MacColl","He's On The Beach"
"TRAVEUS128F4238CB5","Alexia","Happy"
"TRAVFYJ128F4267FC2","Melody Club","Winterland"
"TRAVGKY128F9322C7C","Ray Dee Ohh","Jeg Vil La' Lyset Brænde"
"TRAVJGH128F14ADDB7","Avalon","Overjoyed"
"TRAVNRI128F931B140","September","September All Over"
"TRAVOOT128F9333D01","Hannah Montana","Let's Do This"
"TRAVQCG12903CA9133","Dean Geyer","If You Don't Mean It"
"TRAVQKQ128F425A98E","Westlife","In This Life"
"TRAVQNX128F145D534","Edyta Gorniak","Perfect Moment"
"TRAVRDM128F42956AF","Bay City Rollers","Where Will I Be Now"
"TRAVSIQ128F4244CE9","Tom Pulse","Turn Me On"
"TRAVVVC128F931F702","Zoegirl","Let It Out"
"TRAVWFO128F4299D1A","Tiromancino","Corri"
"TRAVXBL128F42BB389","Michael Jackson","Girl You're So Together"
"TRAVZEK128E078F2DB","Abba","So Long"
"TRAVZVB128F1468346","James Blunt","You're Beautiful (Demo)"
"TRAWAXV128F92E075C","Information Society","Empty"
"TRAWEHI128F428D869","Gemelli Diversi","Gente Di Periferia"
"TRAWFTQ12903CAC1FA","Natasha Bedingfield","These Words"
"TRAWGHQ128F933A356","Billie The Vision & The Dancers","I Miss You"
"TRAWGLP128F92DE5AD","Spongebob Squarepants","Ripped Pants"
"TRAWGTL128F932D4F9","Kelly Sweet","We Are One"
"TRAWGYM128F92F52C5","James Blunt","Carry You Home"
"TRAWGZB128E07922DA","Sia","Where I Belong"
"TRAWIRP128F428AE8B","Jonas Brothers","Just Friends"
"TRAWKGC128F4269F1B","Freemasons Feat. Bailey Tzuke","Uninvited"
"TRAWKTA128F9311F14","Crispian St. Peters","You Were On My Mind"
"TRAWLFP128F92F6BE5","Neil Diamond","Walk On Water"
"TRAWOHX128F4292133","Modern Talking","There's Too Much Blue In Missing You"
"TRAWOPG128F92EF9A1","The Exciters","Tell Him"
"TRAWPFA128F4277AF0","Eric Hutchinson","All Over Now (Album Version)"
"TRAWUEI128F4274F8E","The Potbelleez","Don't Hold Back"
"TRAWUMI128F42B0927","Helena Paparizou","Mambo"
"TRAWXDU12903C9964F","Young Divas","I Can't Wait"
"TRAWYFH128F425E9AE","Mark Medlock & Dieter Bohlen","Sing Halleluja"
"TRAXAOX128F930DB6B","Captain Hollywood Project","Find Another Way"
"TRAXDJL128F14AC835","Arabesque","Like A Shot In The Dark"
"TRAXIPO128F14923B2","Carpenters","An Old Fashioned Christmas"
"TRAXLEX128F92CF1A6","Ivano Fossati","L'Amore Trasparente"
"TRAXOFV12903D07DC8","Lanae' Hale","Spring Again"
"TRAXPUO128E0786E3A","Alphaville","Afternoons In Utopia"
"TRAXPVO128F427C41E","Jessica Simpson","Be"
"TRAXSCX128E0789CBD","Lisa Miskovsky","Please Forgive Me"
"TRAXTFA128E0792E8B","Abba","That's Me"
"TRAXTFZ12903CF7540","Blake Lewis","Heartbreak on Vinyl"
"TRAXTSU128F4241835","Josh Groban","Mi Morena (Revised Live Version)"
"TRAXUQL128F932D6C4","Kelly Sweet","Ready For Love"
"TRAXVGE128E0783F1D","Gwen Stefani","What You Waiting For?"
"TRAXVYP128F42701DB","Karla Bonoff","Isn't It Always Love"
"TRAXWUH128F425E725","Mark Medlock & Dieter Bohlen","Unbelievable"
"TRAYABR128EF33DB91","Klee","Standard Kompakt"
"TRAYANB128F92E34BB","Antti Tuisku","Mitä pakenet"
"TRAYAYK128F146A854","Melanie C","Go!"
"TRAYBOY128F4286250","Hayley Westenra","Across the Universe of Time"
"TRAYCGD128F4264835","Michael Jackson","Rock With You"
"TRAYDSS128F423CE63","Gloria","All the Way"
"TRAYGYO128E0780EB2","Sugababes","Round Round"
"TRAYICR128F4282520","Kyle Riabko","Doesn't Get Much Better"
"TRAYJDQ128F934184C","Beverley Craven","Look No Further"
"TRAYJOF128F92F9EEA","Kelly Clarkson","Cry"
"TRAYJYC128F4260A33","Tony Orlando & Dawn","Summer Sand"
"TRAYKCX128F92E5D44","Darren Hayes","I Like The Way"
"TRAYLJW128F933BBB8","Colbie Caillat","Rainbow"
"TRAYMXW128F9308106","Marcie Blane","Wer Einmal 'A' Gesagt (What Does A Girl Do?)"
"TRAYOHY12903CE5FAE","Amaral","Toda La Noche En La Calle"
"TRAYSDS128F92F3F7A","Westlife","Flying Without Wings"
"TRAYSOG128F92E141F","Sweet Sensation","Sincerely Yours"
"TRAYTWK12903CD6B16","Sister Sledge","Frankie"
"TRAYVGV128F92CA4E5","Ace of Base","I pray"
"TRAYWLI128F9300223","Annie Lennox","Erased"
"TRAYXZX128F930F022","KALIMBA","Nunca Sabras"
"TRAYZZB128F425B73A","Christina Aguilera","Genio Atrapado"
"TRAZEWB128F92D5D2F","Jonas Brothers","That's Just The Way We Roll"
"TRAZFAR12903CC5E6C","The Silver Convention","Chains of Love"
"TRAZFGA128F92EC9D8","Billy Ocean","Upside Down"
"TRAZFNU128F427FD44","Michael Jackson","One More Chance"
"TRAZOOS128F424EF7A","They Might Be Giants","There's A Great Big Beautiful Tomorrow"
"TRAZPUP128F92DD25E","Rob Mayth","Barbie Girl"
"TRAZQAC128F92DC9DB","Nikki","Bring Me Down"
"TRAZRAR128F1477778","The Four Pennies","Juliet"
"TRAZRQW128F146AAA2","Liane Foly","On A Tous Le Droit"
"TRAZRRR128F92EC8F8","Calogero","Si Seulement Je Pouvais Lui Manquer"
"TRAZSVS128F42A9051","Darren Hayes","I Just Want You To Love Me"
"TRAZSVT128F92DEC7B","Julie Zenatti","A Quoi Ca Sert"
"TRAZTBZ12903CFB6DA","Pelle Carlberg","I Love You_ You Imbecile"
"TRAZTKR128F92EC654","Jane Birkin","14 Février"
"TRAZUQL128F92CEE22","Monrose","Stolen"
"TRAZVMD128F14613E6","Stacie Orrico","Hesitation"
"TRAZVYP128F1459AD9","Leona Naess","Star Signs"
"TRAZWGK128F93141E3","Lady GaGa","Poker Face"
"TRAZWRJ128F426C38E","Robert Goulet","My Love_ Forgive Me"
"TRAZYHM128F14821A0","Zoegirl","Ordinary Day"
"TRAZYWS128F42698EC","Chantal Kreviazuk","Little Things"
"TRBAASW128F92DD8A6","Toy-Box","The Sailor Song"
"TRBABBR128F4252EB7","Amaral","El Blues De La Generación Perdida"
"TRBABMN128F93318D9","Tic Tac Toe","Mr. Wichtig"
"TRBACSJ128F424FACC","P.Lion","Happy Children"
"TRBACVD128C7196D9B","Sugababes","Buster"
"TRBAFHI12903CAFBB6","Wildchild","Jump To My Beat"
"TRBAFJQ128F4259FB5","Annie Lennox","Little Bird"
"TRBAGOS128F93098C7","Jonas Brothers","Pushin' Me Away"
"TRBAHID128F4278EAF","Shakira","Objection (Tango)"
"TRBAHLB128F14640C7","Alicia Bridges","I Love The Nightlife (Disco 'Round)"
"TRBAHMP128F93217AA","Bent Fabric","Sweet Senorita"
"TRBALRR128F429625D","Britney Spears","Can't Make You Love Me"
"TRBALZO12903CA1CD8","Venke Knutson","How The Story Goes"
"TRBAMGA128F9348C30","Acda & De Munnik","De Kapitein Deel II"
"TRBAMPN128F9339706","Mai Tai","Body And Soul"
"TRBAPBF128F42B0CCD","Natalia","Risin"
"TRBARUL128F92EC650","Jane Birkin","Madame"
"TRBASQF128F9326730","Bløf","Midzomernacht"
"TRBATKI128F4284D54","Joy Enriquez","Between You And Me"
"TRBATUS128F9303CA0","Pet Shop Boys","Did you see me coming?"
"TRBATXY128E07937B5","Suzanne Vega","Fifty-Fifty Chance (Fifty Fifty)"
"TRBAUJY12903CC5AEB","Joe Smooth","Promised Land"
"TRBAUVN128F932FEF8","Britney Spears","Oops!...I Did It Again"
"TRBAYPO128F425EDE2","Shayne Ward","Breathless"
"TRBAZFD12903CB641D","Brooke White","Hold Up My Heart"
"TRBBDVB128F92ED512","Aycan","Lambada"
"TRBBDXO128F14A4737","Tommy James And The Shondells","Gettin' Together"
"TRBBDXP128F42AFD7A","Shayne Ward","All My Life"
"TRBBELW128F92DFDF0","Eros Ramazzotti & Anastacia","I Belong To You (Il Ritmo Della Passione)"
"TRBBEVP128F146ECF8","Abba","Waterloo"
"TRBBGHS128F1491578","McFly","Friday Night"
"TRBBHHP128EF365DA0","Gene Pitney","Every Breath I Take"
"TRBBIJE128F934DC14","The Guild League","Siamese Couplets"
"TRBBJAQ128F1495390","Jump5","It's A Beautiful World"
"TRBBMGK128F4266014","Melody Club","Electric"
"TRBBMRN128F42890CF","Eros Ramazzotti","Fantastico Amor (Ma Che Bello Questo Amore)"
"TRBBMTJ128F1477785","The Four Pennies","Sweeter Than You"
"TRBBMWD128F92C5A1F","Valérie Leulliot","Mon Homme Blessé"
"TRBBNHX128F92E5874","Alizée","Mon Taxi Driver"
"TRBBONU128F92D630E","Katy Perry","Ur So Gay"
"TRBBOPV12903CFB50F","The Ronettes","Born To Be Together"
"TRBBQRV128F92C3235","Will Young","Changes"
"TRBBQTZ128F4227763","Pet Shop Boys","Decadence"
"TRBBRDL128F4261237","Julien Doré","Acacia"
"TRBBRJN128F425C040","Jacques Dutronc","L'Aventurier"
"TRBBTEJ128F145F6ED","Bosson","Let Your Soul Shine"
"TRBBVCE128F427E7EC","Cyndi Lauper","Walk On By"
"TRBBVHO128F425A98B","Morten Abel","The Birmingham Ho"
"TRBBVTP128F93041FE","Sophie Ellis-Bextor","By Chance"
"TRBBXRN128F9308522","Alizée","Lui Ou Toi"
"TRBBXSE128F42798F6","Mariah Carey","Honey"
"TRBBYZW128F930F2C1","Katharine McPhee","Not Ur Girl"
"TRBCAFB128F428B931","Dennis Christopher VS Tony Cha Cha","(Do I Look Like A) Slut (Original Club Mix)"
"TRBCAUH128F425A326","Will Young","Love Is A Matter Of Distance"
"TRBCBXZ128F14628C3","Lighthouse Family","Ocean Drive"
"TRBCCET128F92D5D2C","Eoghan Quigg","We're All In This Together"
"TRBCDLZ128F92F314A","Annett Louisan","Die Katze"
"TRBCDMC128F1452976","Kate Bush","A Coral Room"
"TRBCFQK12903CA5CE2","Jason Derulo","Whatcha Say"
"TRBCGDY128F1453465","Hanson","If Only"
"TRBCGZZ128F92EB4BF","Michael Jackson","Smooth Criminal (Radio Edit)"
"TRBCIRO128F42B0277","Christina Aguilera","Beautiful"
"TRBCJUF128F93190C2","Lily Allen","Everyone's At It"
"TRBCMYX128F92EB4BA","Michael Jackson","Bad"
"TRBCQSK128F92DF8BB","Culture Beat","Mr Vain"
"TRBCRID128F4243A19","Melanie Doane","You Are What You Love"
"TRBCRIH128F9322AB2","Robbie Williams","Morning Sun Reprise"
"TRBCTEQ128F145231B","East 17","Someone To Love"
"TRBCUOU128F42ADD2C","Yvonne Catterfeld","Licht am Horizont"
"TRBCUSN128F92DCFB8","Anggun","Plus fort que les frontières"
"TRBCUXW128F4278E5D","Anggun","Selamanya"
"TRBCWNH128F93103EE","Enrique Iglesias","Can You Hear Me"
"TRBCXVE128F9322C42","S.O.A.P.","S.O.A.P. Is In The Air"
"TRBCZBM128F9306A58","Kim Appleby","Don't Worry"
"TRBCZBR128E0785FE6","Lucie Silvas","Build Your World Around"
"TRBCZMZ12903CB6536","Dannii Minogue","Wish You'd Stop Wishing"
"TRBDBXO128F42B3E45","Nolwenn Leroy","Etre Une Femme"
"TRBDCYS128F4263FD1","Boyzone","If You Were Mine"
"TRBDDNZ128E078450A","Sophie Ellis-Bextor","I Won't Change You"
"TRBDGIV128F4215073","Formula V","La Fiesta De Blas"
"TRBDGOX128F428E2B9","2raumwohnung","36 Grad (Paul van Dyk's Vandit Clubmix)"
"TRBDGVP128F4263A8E","Bangles","In A Different Light"
"TRBDISR128F423E194","Krystof","Vodne stocne"
"TRBDJIL128F92C46DC","Françoise Hardy","Mon amie la rose"
"TRBDKBU128F9324ACB","Alcazar","Inhibitions"
"TRBDKDN128F930436A","Rosana","En las calles de Madrid"
"TRBDNTU128F429891E","Jamelia","Something About You (Mr Ozio Mix)"
"TRBDPVT128F92FDB2A","Britney Spears","Kill The Lights"
"TRBDSGK128F92F2C59","Jessica Simpson","In This Skin"
"TRBDSPO128F92FC2BD","Sister Sledge","Il Macquillage Lady"
"TRBDSSA128F428E7CA","Jona Lewie","Stop The Cavalry"
"TRBDTQU128F92FAD69","Kaci Brown","Like 'Em Like That"
"TRBDTYG128F4292CA4","Spinners","Working My Way Back To You/Forgive Me_ Girl (Remastered Single Version)"
"TRBDUPB12903CE6C36","Selena Gomez & The Scene","The Way I Loved You"
"TRBDUXD128F148328A","Fergie","Velvet"
"TRBDVAK128F427F05A","Acda & De Munnik","Het Regent Zonnestralen"
"TRBDVNN128F1474B6D","Ronan Keating","Just When I'd Given Up Dreaming"
"TRBDXBG128F4287F0B","Joan Armatrading","True Love"
"TRBDXNZ128F42ACDF1","Marie Serneholt","That's The Way My Heart Goes"
"TRBDYLA128E0784069","Girls Aloud","Wake Me Up"
"TRBEAKH128F147D657","Urban Cookie Collective","The Key_ The Secret 2005 (Northstarz Club Mix)"
"TRBEAMO128F425B75F","Christina Aguilera","Cruz"
"TRBEBII128F426969B","Hungry Lucy","To Kill A King"
"TRBEBVZ128F425A660","Rick Astley","The Bottom Line"
"TRBECNW128F426BE82","Mariah Carey","Touch My Body"
"TRBECQJ128F92C2278","Kiko & Shara","Sin ton Ni Son"
"TRBEFJE128F932139E","Eleanor McEvoy","Sophie"
"TRBEFRO128F42520FC","Vanessa Carlton","My Best"
"TRBEIIA128F14717AF","The Lilac Time","Rockland"
"TRBEIKK128F14628D6","Lighthouse Family","Run"
"TRBEIWT128F92DD861","Grace Jones","Devil In My Life"
"TRBEKHE128E0795220","Dannii Minogue","Vibe On"
"TRBELFT128F427932D","Nena","Keine Antwort"
"TRBEOLH128F42963CD","Miley Cyrus","Right Here"
"TRBESWC128EF34B859","Krystof","Svedomi"
"TRBETDR128F92C4974","Cyndi Lauper","Rocking Chair"
"TRBETTS128F429EF38","The Bee Gees","I Don't Think It's Funny"
"TRBEUSB128F1468925","Russell Morris","The Girl That I Love"
"TRBEUTH128F428CCAC","Joana Zimmer","Lucky Star"
"TRBEUZB128F426B1EA","Weeping Willows","By The River"
"TRBEVND128F93429DD","Edelweiss","The Kangaroo Theory"
"TRBEXUF128F92DF175","Natasha Bedingfield","Love Like This"
"TRBEYMT128F145A992","Patricia Kaas","Mon Mec A Moi"
"TRBEZIC12903CAC35E","Bethany Dillon","I Believe In You"
"TRBFAES12903CE2660","Kelly Clarkson","Breakaway"
"TRBFAHV12903CBA676","Eva Dahlgren","Kysser Solen"
"TRBFAWR128F42A4FDA","Alcazar","This Is The World We Live In"
"TRBFBJF128F425A989","Westlife","Amazing"
"TRBFCLF128F429F86C","Amel Bent","Ma Philosophie"
"TRBFCTZ128F147242D","Marina Lima","O Chamado"
"TRBFDBZ128F427EDCD","Emiliana Torrini","Sunny Road"
"TRBFDHO128F4294AF0","Lisa Stansfield","Real Love"
"TRBFDIV128E0791250","Carpenters","Crystal Lullaby"
"TRBFDQY128F1464F0D","Erasure","Rescue Me"
"TRBFERR128EF343C2B","Sarah Connor / TQ","Let's Get Back To Bed - Boy!"
"TRBFFZW128F92F74ED","Bobby Rydell","Forget Him"
"TRBFGFJ128EF3554EE","Tracey Thorn","By Piccadilly Station I Sat Down And Wept"
"TRBFIAH128F933D7F4","Leona Lewis","Outta My Head"
"TRBFJKX128F4291C2D","X-Perience","Island Of Dreams"
"TRBFLQY128F4296E05","Eros Ramazzotti","Amarte Es Total"
"TRBFMBV128F428E18A","Lisa Stansfield","8-3-1"
"TRBFORG128F92EB847","Gloria Gaynor","I Will Survive"
"TRBFOTY128F92E1ED3","Will Young","Very Kind"
"TRBFPSI128EF342D0D","Melanie C","Immune"
"TRBFQLI128F9350203","Cheryl Cole","Fight For This Love"
"TRBFRQE128E079608F","Mikel Erentxun","Frases Mudas"
"TRBFSCH128F429F5ED","Samantha Fox","He's Got Sex"
"TRBFURI128F1455498","KT Tunstall","Under The Weather"
"TRBFVCE128F933E4D6","Mitchel Musso","Movin' In"
"TRBFVVP128F425A56F","Håkan Hellström","Atombomb"
"TRBFVZI128F147FCAF","Phil Collins","Please Come Out Tonight"
"TRBFWIM128F146A80C","Billie Piper","Ring My Bell"
"TRBFXNC128EF3439E3","Anna Ternheim","One To Blame"
"TRBFYHV128F424F1BB","Toni Kater","Liebe ist"
"TRBFYNY128F92F8755","Ke$ha","Your Love Is My Drug"
"TRBFZTE128F428037F","Anastacia","Left Outside Alone"
"TRBGASN128F427BF8F","Jennifer Lopez","I'm Glad"
"TRBGAYD128F148B486","Boyzone","It's Time"
"TRBGCLK128F4237A50","Phil Collins","Testify"
"TRBGCPM128F42721F2","Tiffany","Kids In America"
"TRBGESE128E0798DE5","Kelly Key","Adoleta"
"TRBGEUJ128F42B06B8","Sandi Thom","I Wish I Was A Punk Rocker (With Flowers In My Hair)"
"TRBGEVJ128F4260BDB","Ania","Niech zniknie caly swiat"
"TRBGFBX128F9358958","Madi Diaz","Nothing At All"
"TRBGIVE128F1463932","Dusty Springfield","Mockingbird"
"TRBGNCL128F428F56F","Gwen Stefani","4 In The Morning"
"TRBGOQU12903CF5C72","Lil Suzy","Can't Get You Out of My Mind"
"TRBGOYK128F425A5F1","M People","Love Rendezvous"
"TRBGREB128E0783E3A","Vanessa Carlton","C'est La Vie"
"TRBGTIR128F425A4FC","Morten Abel","Snowboy"
"TRBGWEG12903CFF7EE","Twenty 4 Seven","You Gotta Be Safe"
"TRBGWMN128F429DA96","Darren Hayes","On The Verge Of Something Wonderful"
"TRBGYHI12903CA7B83","Vengaboys","Up & Down"
"TRBHABP128F4234EDF","Maga","Intentos De Color"
"TRBHEHF128F428385A","George Michael","Amazing"
"TRBHFXE128F428E33A","Paolo Meneguzzi","In Nome Dell'Amore"
"TRBHGCK128F933A618","Lily Allen","Not Big"
"TRBHGQH128F147A833","Bubba Sparxxx","Heat It Up (Radio Edit)"
"TRBHHDP128F92E2346","Giusy Ferreri","Passione Positiva"
"TRBHHHT128F4272571","Cyndi Lauper","Who Let In The Rain"
"TRBHJXD128F14628B5","Daniel Bedingfield","If You're Not The One"
"TRBHKCL128F425A036","George Michael","Shoot The Dog"
"TRBHLPZ128E079280A","Vanessa Carlton","Sway"
"TRBHNNH128F429D1F3","Gavin DeGraw","She Holds A Key"
"TRBHNTF128E078DCF8","Bananarama","Move In My Direction"
"TRBHORD128EF341FF8","All Saints","Hell No"
"TRBHPPW128F930E095","Gloria Gaynor","Exclusive Medley Remix 2000 (Radio Edit)"
"TRBHQMH128F4298469","Spice Girls","Move Over"
"TRBHTEN128F93450CB","Lady GaGa","Brown Eyes"
"TRBHVLH128F92F2369","Sandi Thom","When Horsepower Meant What It Said"
"TRBHYNB128F146A80A","Billie Piper","Safe With Me"
"TRBHZIX128E0786671","Alanis Morissette","Precious Illusions (Album Version)"
"TRBIAIK12903CC660E","Bobby Rydell","Swingin' School"
"TRBIBLJ12903CCF436","Madonna","Papa Don't Preach"
"TRBIDGR128F932FC6C","Britney Spears","Womanizer"
"TRBIDIN128F92DEDFB","Patrick Nuo","Wintersleep"
"TRBIDTZ128F931F70D","Zoegirl","Good Girl"
"TRBIDWG128F9338405","Daniel Merriweather","Giving Everything Away For Free"
"TRBIESK128E07916DE","All Saints","Bootie Call (Dreem Teem Vocal)"
"TRBIEWX128F92E5A1D","Westlife","Home"
"TRBIGEW128F4253556","Arsenium","Love Me&Love Me"
"TRBIGJK128E0783FCB","JoJo","Leave (Get Out)"
"TRBIKJW128F426410E","Backstreet Boys","The Answer To Our Life"
"TRBILGW128F9303F77","AnnaGrace","Let The Feelings Go"
"TRBIMZB128F93263E8","Lionel Richie","Stuck On You"
"TRBINUP12903CC7A29","Albert One","Turbo Diesel"
"TRBINXY128F42AC522","Backstreet Boys","Climbing The Walls"
"TRBIPFK128F4280E09","Bellini","Carnaval"
"TRBIPVD128F14592C1","Johnny Hates Jazz","Turn The Tide"
"TRBIRPK128F4267CFC","Karla Bonoff","Someone To Lay Down Beside Me"
"TRBISSZ128F9303A5E","Bangles","Some Dreams Come True"
"TRBITLP128F9317314","Steps","Say You'll Be Mine"
"TRBITVQ128F427EFF5","Nerina Pallot","Daphne And Apollo"
"TRBITXU12903CD45E3","Margo Guryan","Something's Wrong With The Morning"
"TRBIUKI128EF349898","Spanky & Our Gang","Like To Get To Know You"
"TRBIUMT128F149EE2F","Ernie Halter","Love In L.A. (Album)"
"TRBIVBP128F424B67C","The Drifters","White Christmas"
"TRBIVCP128F931DD81","T'Pau","Do the Right Dance"
"TRBIWDF128E07932BB","Boyzone","Good Conversation"
"TRBIWOR128F9336587","Ana Carolina","Dentro"
"TRBIWRO128EF365B94","Mr. President","I Give You My Heart"
"TRBIWUQ12903CA4390","Johnny Cash","The Little Drummer Boy"
"TRBIYEM128F42540B0","Basshunter","Russia Privet"
"TRBIYIA128F1469C0E","911","Moving On"
"TRBIYYZ128F4273BD3","Enrique Iglesias","Dímelo"
"TRBJAYC128F931D972","Sissy Wish","Yayaya"
"TRBJAZL128F930B160","Michael Jackson","Shake Your Body (Down To The Ground)"
"TRBJCAO12903CF6CF6","Neil Sedaka","The Diary"
"TRBJDDQ128F92F291C","Donna Summer","Could It Be Magic"
"TRBJGGZ128F425A212","Will Young","Hey Ya"
"TRBJHYE128F422D988","Geri Halliwell","Lift Me Up"
"TRBJHZI128F92CA516","Ace of Base","Hey Darling"
"TRBJILU128F425A99C","Will Young","Who Am I"
